data,employment,inflow,outflow
Mar-21,21,470,-411
Apr-21,-23,494,-475
May-21,176,503,-368
Jun-21,-20,415,-454
Jul-21,-24,493,-541
Aug-21,-184,461,-639
Sep-21,-97,513,-626
Oct-21,-31,530,-531
Nov-21,439,827,-393
Dec-21,147,531,-405
Jan-22,-272,431,-784
Feb-22,360,721,-381
Mar-22,-28,450,-475
Apr-22,32,558,-490
May-22,128,475,-382
Jun-22,53,444,-403
Jul-22,-37,499,-507
Aug-22,12,472,-451
Sep-22,42,491,-446
Oct-22,60,453,-445
Nov-22,144,484,-403
Dec-22,63,445,-417
Jan-23,-329,394,-797
Feb-23,343,758,-417
Mar-23,38,494,-486
Apr-23,-38,478,-542
May-23,180,528,-382
Jun-23,-32,442,-515
Jul-23,-46,497,-508
Aug-23,2,511,-464
Sep-23,36,505,-467
Oct-23,79,493,-458
Nov-23,128,512,-401
Dec-23,11,452,-457
Jan-24,-373,425,-836
Feb-24,430,881,-428
Mar-24,-68,452,-520
Apr-24,-8,475,-507
May-24,125,525,-417
Jun-24,-20,466,-513
Jul-24,3,511,-456
Aug-24,-37,456,-461
Sep-24,84,479,-389
Oct-24,17,452,-454
Nov-24,105,448,-389
Dec-24,107,470,-381
Jan-25,-287,390,-695
Feb-25,185,604,-420
Mar-25,-1,444,-428
Apr-25,58,456,-389
May-25,86,432,-422
Jun-25,-64,381,-419
Jul-25,-16,433,-479
Aug-25,-88,460,-482
Sep-25,63,451,-398
Oct-25,52,482,-447
Nov-25,50,495,-401
Dec-25,115,466,-420
Jan-26,-292,426,-717
Feb-26,300,677,-427
Mar-26,-7,444,-433
