Year,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Subdivision 64 Auxiliary finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety (private),Education and training (private),Health care and social assistance (private),Arts and recreation services,Other services
Jun-2007,484.8,116.8,1005.5,98.6,973.1,514.0,1183.7,750.6,544.2,171.0,158.1,350.0,875.1,683.2,78.9,281.9,776.3,166.2,424.4
Jun-2008,492.6,127.9,1005.0,103.9,983.3,536.9,1252.1,772.0,556.3,172.2,164.3,362.0,924.0,745.8,78.3,299.9,814.3,176.2,428.2
Jun-2009,490.7,135.2,974.5,107.8,983.4,531.1,1259.8,811.4,559.1,172.9,145.2,367.8,892.5,685.3,65.5,295.0,846.1,183.7,447.3
Jun-2010,468.5,143.5,954.2,107.0,997.5,544.0,1297.0,887.1,549.8,176.9,146.2,365.0,919.7,731.2,65.9,324.9,879.5,192.3,452.4
Jun-2011,502.0,158.6,939.3,109.1,1069.0,573.2,1346.0,894.6,561.2,179.7,153.2,387.5,919.4,797.4,80.3,362.6,974.0,205.4,476.4
Jun-2012,498.8,194.2,936.6,113.9,1039.2,578.9,1307.1,928.2,562.6,179.6,157.2,388.5,980.7,839.2,86.6,355.0,1007.1,208.8,466.9
Jun-2013,502.7,191.7,895.9,114.5,1047.1,562.0,1319.6,927.9,568.4,169.2,146.9,402.1,959.1,821.1,85.8,364.1,993.8,198.8,434.5
Jun-2014,498.1,190.3,878.6,113.4,1055.6,563.3,1278.0,914.0,569.5,165.0,148.3,398.7,955.3,803.5,82.1,384.0,1028.4,216.9,483.2
Jun-2015,482.0,177.7,854.1,110.8,1052.2,542.9,1291.6,962.5,569.5,168.4,158.0,400.9,960.5,837.4,83.3,400.5,1066.2,203.7,477.4
Jun-2016,481.7,163.7,837.3,103.6,1052.3,528.3,1299.4,974.7,577.1,169.9,155.5,404.7,983.1,818.5,76.6,392.5,1114.5,192.7,485.7
Jun-2017,472.6,156.7,830.3,105.1,1065.8,542.2,1283.4,1008.5,585.0,168.4,153.2,407.2,1037.6,861.1,77.9,399.7,1144.1,192.0,483.4
Jun-2018,459.4,168.4,836.5,109.7,1110.9,534.9,1310.1,1029.4,601.5,170.9,153.1,420.4,1095.0,930.3,77.5,415.2,1209.8,200.4,500.0
Jun-2019,447.3,178.8,844.1,116.3,1115.5,552.2,1330.8,1024.7,623.1,173.4,151.8,416.4,1141.3,948.3,82.1,432.7,1319.5,216.4,509.7
Jun-2020,442.6,187.3,830.2,118.0,1103.6,543.2,1336.5,957.1,632.3,162.6,147.5,401.9,1126.4,884.7,86.7,422.3,1372.2,200.2,491.6
Jun-2021,436.5,189.1,839.4,122.8,1193.0,563.2,1387.3,1058.2,633.1,170.5,154.8,411.9,1203.3,952.6,90.2,450.0,1453.1,220.2,534.3
Jun-2022,426.1,201.9,865.2,130.2,1227.6,588.0,1420.4,1063.6,650.0,182.2,166.4,424.3,1280.1,1005.3,95.0,466.3,1540.3,243.0,547.9
Jun-2023,418.7,218.7,892.7,134.8,1231.5,595.3,1479.3,1201.1,659.0,189.4,173.0,425.0,1305.2,1002.3,99.3,493.0,1666.7,255.4,585.2
Jun-2024,411.0,234.7,901.7,142.5,1290.7,604.2,1509.6,1217.9,670.6,188.3,174.6,420.9,1317.4,1006.4,106.8,515.8,1796.9,277.3,583.2
